,Position,Skipper,Bateau,Foil,Vitesse nds,Vitesse kmh,VMG,Lat,Long,Dist au premier nm,Dist au premier km,Dist a arrivee nm,Dist a arrivee km,percent classement,Date,Latitude,Longitude
0,1,Charlie Dalin,APIVIA,1,17.64,32.67,13.66,39° 18'42'' S,6° 1'46'' E,0.0,0.0,18129.2,33575.28,25.4,2020-11-29 08:00:00,-39.3117,6.0294
1,2,Thomas Ruyant,LinkedOut,1,19.87,36.8,12.52,38° 38'25'' S,0° 10'55'' O,285.74,529.19,18414.9,34104.39,24.2,2020-11-29 08:00:00,-38.6403,-0.1819
2,3,Jean Le Cam,Yes We Cam!,0,16.49,30.54,14.38,37° 19'54'' S,1° 9'21'' O,358.38,663.72,18487.5,34238.85,23.9,2020-11-29 08:00:00,-37.3317,-1.1558
3,4,Kevin Escoffier,PRB,1,15.19,28.13,13.07,38° 37'14'' S,1° 51'6'' O,358.94,664.76,18488.1,34239.96,23.9,2020-11-29 08:00:00,-38.6206,-1.8517
4,5,Yannick Bestaven,Maître CoQ IV,1,19.73,36.54,13.0,37° 55'29'' S,2° 4'22'' O,384.48,712.06,18513.6,34287.19,23.8,2020-11-29 08:00:00,-37.9247,-2.0728
5,6,Louis Burton,BUREAU VALLEE 2,1,15.22,28.19,15.15,41° 17'41'' S,4° 32'10'' O,418.43,774.93,18547.6,34350.16,23.7,2020-11-29 08:00:00,-41.2947,-4.5361
6,7,Sebastien Simon,ARKEA PAPREC,1,18.83,34.87,13.05,37° 29'5'' S,2° 41'50'' O,422.13,781.78,18551.3,34357.01,23.6,2020-11-29 08:00:00,-37.4847,-2.6972
7,8,Boris Herrmann,SEAEXPLORER - YACHT CLUB DE MONACO,1,18.54,34.34,11.8,37° 38'6'' S,3° 27'36'' O,451.84,836.81,18581.0,34412.01,23.5,2020-11-29 08:00:00,-37.635,-3.46
8,9,Damien Seguin,GROUPE APICIL,0,16.89,31.28,16.77,39° 53'45'' S,6° 31'38'' O,532.71,986.58,18661.9,34561.84,23.2,2020-11-29 08:00:00,-39.8958,-6.5272
9,10,Samantha Davies,INITIATIVES-COEUR,1,14.43,26.72,13.53,40° 46'47'' S,8° 3'38'' O,579.03,1072.36,18708.2,34647.59,23.0,2020-11-29 08:00:00,-40.7797,-8.0606
10,11,Giancarlo Pedote,PRYSMIAN GROUP,1,16.5,30.56,16.49,39° 55'58'' S,7° 39'52'' O,580.58,1075.23,18709.7,34650.36,23.0,2020-11-29 08:00:00,-39.9328,-7.6644
11,12,Benjamin Dutreux,OMIA - WATER FAMILY,0,16.11,29.84,15.15,39° 52'20'' S,8° 3'20'' O,598.66,1108.72,18727.8,34683.89,22.9,2020-11-29 08:00:00,-39.8722,-8.0556
12,13,Maxime Sorel,V and B-MAYENNE,0,15.84,29.34,15.58,39° 23'57'' S,9° 35'51'' O,675.39,1250.82,18804.5,34825.93,22.6,2020-11-29 08:00:00,-39.3992,-9.5975
13,14,Isabelle Joschke,MACSF,1,16.98,31.45,16.33,39° 24'54'' S,10° 0'38'' O,692.67,1282.82,18821.8,34857.97,22.5,2020-11-29 08:00:00,-39.415,-10.0106
14,15,Alex Thomson,HUGO BOSS,1,14.63,27.09,12.67,38° 43'11'' S,11° 25'12'' O,769.57,1425.24,18898.7,35000.39,22.2,2020-11-29 08:00:00,-38.7197,-11.42
15,16,Romain Attanasio,PURE - Best Western®,0,15.1,27.97,15.03,38° 34'8'' S,13° 7'28'' O,846.1,1566.98,18975.2,35142.07,21.9,2020-11-29 08:00:00,-38.5689,-13.1244
16,17,Clarisse Cremer,BANQUE POPULAIRE X,0,14.76,27.34,14.65,38° 41'1'' S,14° 29'36'' O,901.5,1669.58,19030.7,35244.86,21.7,2020-11-29 08:00:00,-38.6836,-14.4933
17,18,Alan Roura,LA FABRIQUE,1,14.21,26.32,13.83,37° 26'17'' S,16° 59'39'' O,1040.49,1926.99,19169.6,35502.1,21.1,2020-11-29 08:00:00,-37.4381,-16.9942
18,19,Stephane Le Diraison,TIME FOR OCEANS,1,7.27,13.46,5.41,35° 58'28'' S,25° 11'12'' O,1429.57,2647.56,19558.7,36222.71,19.5,2020-11-29 08:00:00,-35.9744,-25.1867
19,20,Arnaud Boissieres,LA MIE CÂLINE - ARTISANS ARTIPÔLE,1,9.67,17.91,6.96,29° 39'48'' S,33° 11'1'' O,1973.23,3654.42,20102.4,37229.64,17.3,2020-11-29 08:00:00,-29.6633,-33.1836
20,21,Manuel Cousin,GROUPE SÉTIN,0,12.6,23.34,9.19,28° 55'45'' S,33° 50'2'' O,2026.59,3753.24,20155.7,37328.36,17.0,2020-11-29 08:00:00,-28.9292,-33.8339
21,22,Didac Costa,ONE PLANET ONE OCEAN,0,9.64,17.85,5.7,27° 46'34'' S,33° 28'38'' O,2052.24,3800.75,20181.4,37375.95,16.9,2020-11-29 08:00:00,-27.7761,-33.4772
22,23,Armel Tripon,L'OCCITANE EN PROVENCE,1,12.24,22.67,8.74,30° 8'58'' S,35° 51'60'' O,2070.06,3833.75,20199.2,37408.92,16.9,2020-11-29 08:00:00,-30.1494,-35.8667
23,24,Pip Hare,MEDALLIA,0,11.86,21.96,5.97,26° 35'31'' S,34° 15'39'' O,2128.29,3941.59,20257.4,37516.7,16.6,2020-11-29 08:00:00,-26.5919,-34.2608
24,25,Fabrice Amedeo,NEWREST - ART & FENÊTRES,1,16.44,30.45,10.66,19° 28'35'' S,34° 10'9'' O,2390.05,4426.37,20519.2,38001.56,15.5,2020-11-29 08:00:00,-19.4764,-34.1692
25,26,Clement Giraud,Compagnie du Lit / Jiliti,0,13.05,24.17,9.0,15° 22'19'' S,32° 29'39'' O,2509.9,4648.33,20639.0,38223.43,15.1,2020-11-29 08:00:00,-15.3719,-32.4942
26,27,Alexia Barrier,4MYPLANET,0,12.53,23.21,9.05,16° 15'39'' S,33° 58'58'' O,2521.25,4669.36,20650.4,38244.54,15.0,2020-11-29 08:00:00,-16.2608,-33.9828
27,28,Miranda Merron,CAMPAGNE DE FRANCE,0,13.11,24.28,9.1,15° 52'32'' S,34° 20'2'' O,2552.01,4726.32,20681.2,38301.58,14.9,2020-11-29 08:00:00,-15.8756,-34.3339
28,29,Ari Huusela,STARK,0,12.42,23.0,9.72,12° 43'28'' S,33° 45'41'' O,2682.39,4967.79,20811.5,38542.9,14.3,2020-11-29 08:00:00,-12.7244,-33.7614
29,30,Sebastien Destremau,MERCI,0,11.6,21.48,9.1,12° 1'52'' S,32° 50'6'' O,2687.8,4977.81,20816.9,38552.9,14.3,2020-11-29 08:00:00,-12.0311,-32.835
30,31,Kojiro Shiraishi,DMG MORI Global One,1,15.38,28.48,11.45,9° 35'0'' S,32° 49'39'' O,2814.78,5212.97,20943.9,38788.1,13.8,2020-11-29 08:00:00,-9.5833,-32.8275
31,32,Jeremie Beyou,CHARAL,1,12.33,22.84,9.5,0° 25'40'' N,29° 10'33'' O,3294.42,6101.27,21423.6,39676.51,11.8,2020-11-29 08:00:00,0.4278,-29.1758
0,1,Charlie Dalin,APIVIA,1,18.96,35.11,14.73,39° 42'39'' S,4° 35'47'' E,0.0,0.0,18184.0,33676.77,25.2,2020-11-29 04:00:00,-39.7108,4.5964
1,2,Thomas Ruyant,LinkedOut,1,19.7,36.48,15.42,39° 17'33'' S,1° 39'49'' O,281.16,520.71,18465.2,34197.55,24.0,2020-11-29 04:00:00,-39.2925,-1.6636
2,3,Kevin Escoffier,PRB,1,20.38,37.74,17.42,38° 45'54'' S,3° 8'6'' O,356.62,660.46,18540.6,34337.19,23.7,2020-11-29 04:00:00,-38.765,-3.135
3,4,Jean Le Cam,Yes We Cam!,0,18.02,33.37,15.98,37° 26'1'' S,2° 31'58'' O,361.31,669.15,18545.3,34345.9,23.7,2020-11-29 04:00:00,-37.4336,-2.5328
4,5,Yannick Bestaven,Maître CoQ IV,1,20.15,37.32,15.88,38° 29'57'' S,3° 34'40'' O,381.88,707.24,18565.9,34384.05,23.6,2020-11-29 04:00:00,-38.4992,-3.5778
5,6,Sebastien Simon,ARKEA PAPREC,1,19.72,36.52,14.86,37° 57'52'' S,4° 9'45'' O,419.74,777.36,18603.8,34454.24,23.4,2020-11-29 04:00:00,-37.9644,-4.1625
6,7,Louis Burton,BUREAU VALLEE 2,1,15.16,28.08,14.58,40° 51'9'' S,5° 44'46'' O,424.07,785.38,18608.1,34462.2,23.4,2020-11-29 04:00:00,-40.8525,-5.7461
7,8,Boris Herrmann,SEAEXPLORER - YACHT CLUB DE MONACO,1,18.49,34.24,13.66,38° 11'41'' S,4° 51'20'' O,444.43,823.08,18628.4,34499.8,23.3,2020-11-29 04:00:00,-38.1947,-4.8556
8,9,Damien Seguin,GROUPE APICIL,0,16.76,31.04,16.51,39° 35'24'' S,7° 56'9'' O,545.05,1009.43,18729.1,34686.29,22.9,2020-11-29 04:00:00,-39.59,-7.9358
9,10,Samantha Davies,INITIATIVES-COEUR,1,14.92,27.63,14.86,40° 45'37'' S,9° 19'48'' O,578.49,1071.36,18762.5,34748.15,22.8,2020-11-29 04:00:00,-40.7603,-9.33
10,11,Giancarlo Pedote,PRYSMIAN GROUP,1,14.75,27.32,14.41,39° 31'20'' S,8° 59'23'' O,591.7,1095.83,18775.7,34772.6,22.7,2020-11-29 04:00:00,-39.5222,-8.9897
11,12,Benjamin Dutreux,OMIA - WATER FAMILY,0,16.98,31.45,16.98,39° 48'59'' S,9° 27'7'' O,604.68,1119.87,18788.7,34796.67,22.7,2020-11-29 04:00:00,-39.8164,-9.4519
12,13,Maxime Sorel,V and B-MAYENNE,0,15.61,28.91,15.53,39° 9'14'' S,10° 55'26'' O,682.99,1264.9,18867.0,34941.68,22.3,2020-11-29 04:00:00,-39.1539,-10.9239
13,14,Isabelle Joschke,MACSF,1,16.39,30.35,16.38,39° 15'17'' S,11° 27'30'' O,703.37,1302.64,18887.4,34979.46,22.3,2020-11-29 04:00:00,-39.2547,-11.4583
14,15,Alex Thomson,HUGO BOSS,1,14.93,27.65,14.58,38° 48'29'' S,12° 39'52'' O,765.67,1418.02,18949.7,35094.84,22.0,2020-11-29 04:00:00,-38.8081,-12.6644
15,16,Romain Attanasio,PURE - Best Western®,0,15.37,28.47,15.29,38° 13'1'' S,14° 19'36'' O,851.45,1576.89,19035.4,35253.56,21.7,2020-11-29 04:00:00,-38.2169,-14.3267
16,17,Clarisse Cremer,BANQUE POPULAIRE X,0,15.56,28.82,15.52,38° 21'58'' S,15° 40'59'' O,905.33,1676.67,19089.3,35353.38,21.4,2020-11-29 04:00:00,-38.3661,-15.6831
17,18,Alan Roura,LA FABRIQUE,1,12.38,22.93,12.29,37° 12'17'' S,18° 8'53'' O,1041.08,1928.08,19225.1,35604.89,20.9,2020-11-29 04:00:00,-37.2047,-18.1481
18,19,Stephane Le Diraison,TIME FOR OCEANS,1,9.9,18.33,6.26,35° 30'51'' S,25° 22'22'' O,1396.21,2585.78,19580.2,36262.53,19.4,2020-11-29 04:00:00,-35.5142,-25.3728
19,20,Arnaud Boissieres,LA MIE CÂLINE - ARTISANS ARTIPÔLE,1,11.11,20.58,4.94,29° 1'45'' S,33° 18'53'' O,1946.12,3604.21,20130.1,37280.95,17.1,2020-11-29 04:00:00,-29.0292,-33.3147
20,21,Manuel Cousin,GROUPE SÉTIN,0,11.9,22.04,7.19,28° 6'12'' S,34° 0'24'' O,2008.33,3719.43,20192.3,37396.14,16.9,2020-11-29 04:00:00,-28.1033,-34.0067
21,22,Didac Costa,ONE PLANET ONE OCEAN,0,13.15,24.35,7.27,27° 8'3'' S,33° 28'19'' O,2020.1,3741.23,20204.1,37417.99,16.8,2020-11-29 04:00:00,-27.1342,-33.4719
22,23,Armel Tripon,L'OCCITANE EN PROVENCE,1,16.57,30.69,9.63,29° 20'45'' S,36° 1'25'' O,2049.94,3796.49,20233.9,37473.18,16.7,2020-11-29 04:00:00,-29.3458,-36.0236
23,24,Pip Hare,MEDALLIA,0,14.45,26.76,6.8,25° 48'29'' S,34° 9'13'' O,2097.25,3884.11,20281.2,37560.78,16.5,2020-11-29 04:00:00,-25.8081,-34.1536
24,25,Fabrice Amedeo,NEWREST - ART & FENÊTRES,1,16.87,31.24,11.7,18° 23'4'' S,34° 4'48'' O,2376.63,4401.52,20560.6,38078.23,15.4,2020-11-29 04:00:00,-18.3844,-34.08
25,26,Clement Giraud,Compagnie du Lit / Jiliti,0,13.79,25.54,10.71,14° 31'20'' S,32° 18'16'' O,2490.47,4612.35,20674.5,38289.17,14.9,2020-11-29 04:00:00,-14.5222,-32.3044
26,27,Alexia Barrier,4MYPLANET,0,12.47,23.09,8.37,15° 25'46'' S,33° 54'34'' O,2502.1,4633.89,20686.1,38310.66,14.9,2020-11-29 04:00:00,-15.4294,-33.9094
27,28,Miranda Merron,CAMPAGNE DE FRANCE,0,11.08,20.52,7.33,15° 0'34'' S,34° 13'7'' O,2532.98,4691.08,20717.0,38367.88,14.7,2020-11-29 04:00:00,-15.0094,-34.2186
28,29,Ari Huusela,STARK,0,11.93,22.09,8.41,11° 54'3'' S,33° 40'50'' O,2666.08,4937.58,20850.1,38614.39,14.2,2020-11-29 04:00:00,-11.9008,-33.6806
29,30,Sebastien Destremau,MERCI,0,12.56,23.26,9.08,11° 15'56'' S,32° 43'30'' O,2669.03,4943.04,20853.0,38619.76,14.2,2020-11-29 04:00:00,-11.2656,-32.725
30,31,Kojiro Shiraishi,DMG MORI Global One,1,15.78,29.22,10.4,8° 35'33'' S,32° 33'48'' O,2805.21,5195.25,20989.2,38872.0,13.6,2020-11-29 04:00:00,-8.5925,-32.5633
31,32,Jeremie Beyou,CHARAL,1,11.11,20.58,9.38,1° 10'17'' N,28° 49'35'' O,3277.34,6069.63,21461.3,39746.33,11.7,2020-11-29 04:00:00,1.1714,-28.8264
0,1,Charlie Dalin,APIVIA,1,19.67,36.43,15.22,40° 27'22'' S,1° 52'35'' E,0.0,0.0,18288.1,33869.56,24.7,2020-11-28 21:00:00,-40.4561,1.8764
1,2,Thomas Ruyant,LinkedOut,1,19.42,35.97,16.43,39° 57'10'' S,4° 31'8'' O,286.34,530.3,18574.4,34399.79,23.6,2020-11-28 21:00:00,-39.9528,-4.5189
2,3,Jean Le Cam,Yes We Cam!,0,16.96,31.41,16.3,37° 32'12'' S,5° 10'38'' O,370.12,685.46,18658.2,34554.99,23.2,2020-11-28 21:00:00,-37.5367,-5.1772
3,4,Kevin Escoffier,PRB,1,20.69,38.32,18.3,39° 5'46'' S,6° 9'38'' O,375.95,696.26,18664.0,34565.73,23.2,2020-11-28 21:00:00,-39.0961,-6.1606
4,5,Yannick Bestaven,Maître CoQ IV,1,20.56,38.08,17.37,39° 5'37'' S,6° 29'39'' O,390.39,723.0,18678.4,34592.4,23.1,2020-11-28 21:00:00,-39.0936,-6.4942
5,6,Sebastien Simon,ARKEA PAPREC,1,20.75,38.43,17.51,38° 38'36'' S,6° 57'40'' O,420.97,779.64,18709.0,34649.07,23.0,2020-11-28 21:00:00,-38.6433,-6.9611
6,7,Louis Burton,BUREAU VALLEE 2,1,18.41,34.1,14.32,40° 40'28'' S,8° 4'5'' O,422.68,782.8,18710.7,34652.22,23.0,2020-11-28 21:00:00,-40.6744,-8.0681
7,8,Boris Herrmann,SEAEXPLORER - YACHT CLUB DE MONACO,1,19.11,35.39,15.84,38° 53'3'' S,7° 28'2'' O,437.14,809.58,18725.2,34679.07,22.9,2020-11-28 21:00:00,-38.8842,-7.4672
8,9,Damien Seguin,GROUPE APICIL,0,19.19,35.54,15.01,38° 29'1'' S,10° 0'34'' O,556.01,1029.73,18844.1,34899.27,22.4,2020-11-28 21:00:00,-38.4836,-10.0094
9,10,Samantha Davies,INITIATIVES-COEUR,1,13.61,25.21,12.47,39° 55'33'' S,11° 19'58'' O,578.16,1070.75,18866.2,34940.2,22.3,2020-11-28 21:00:00,-39.9258,-11.3328
10,11,Giancarlo Pedote,PRYSMIAN GROUP,1,13.52,25.04,13.17,38° 28'59'' S,10° 45'14'' O,587.97,1088.92,18876.0,34958.35,22.3,2020-11-28 21:00:00,-38.4831,-10.7539
11,12,Benjamin Dutreux,OMIA - WATER FAMILY,0,14.64,27.11,14.55,39° 2'7'' S,11° 48'28'' O,619.52,1147.35,18907.6,35016.88,22.2,2020-11-28 21:00:00,-39.0353,-11.8078
12,13,Maxime Sorel,V and B-MAYENNE,0,15.03,27.84,13.93,38° 11'52'' S,12° 54'29'' O,687.33,1272.94,18975.4,35142.44,21.9,2020-11-28 21:00:00,-38.1978,-12.9081
13,14,Isabelle Joschke,MACSF,1,15.7,29.08,15.34,38° 29'9'' S,13° 42'16'' O,714.01,1322.35,19002.1,35191.89,21.8,2020-11-28 21:00:00,-38.4858,-13.7044
14,15,Alex Thomson,HUGO BOSS,1,13.44,24.89,13.21,38° 24'12'' S,14° 49'50'' O,764.08,1415.08,19052.1,35284.49,21.6,2020-11-28 21:00:00,-38.4033,-14.8306
15,16,Romain Attanasio,PURE - Best Western®,0,12.88,23.85,12.88,37° 14'30'' S,16° 13'37'' O,854.18,1581.94,19142.2,35451.35,21.2,2020-11-28 21:00:00,-37.2417,-16.2269
16,17,Clarisse Cremer,BANQUE POPULAIRE X,0,13.54,25.08,12.86,37° 24'52'' S,17° 38'23'' O,909.68,1684.73,19197.7,35554.14,21.0,2020-11-28 21:00:00,-37.4144,-17.6397
17,18,Alan Roura,LA FABRIQUE,1,13.18,24.41,13.16,36° 40'37'' S,19° 49'45'' O,1023.2,1894.97,19311.2,35764.34,20.5,2020-11-28 21:00:00,-36.6769,-19.8292
18,19,Stephane Le Diraison,TIME FOR OCEANS,1,5.76,10.67,5.0,34° 22'16'' S,25° 33'51'' O,1335.17,2472.73,19623.2,36342.17,19.2,2020-11-28 21:00:00,-34.3711,-25.5642
19,20,Arnaud Boissieres,LA MIE CÂLINE - ARTISANS ARTIPÔLE,1,11.94,22.11,5.05,27° 45'9'' S,33° 3'42'' O,1876.38,3475.06,20164.4,37344.47,17.0,2020-11-28 21:00:00,-27.7525,-33.0617
20,21,Manuel Cousin,GROUPE SÉTIN,0,12.19,22.58,6.01,26° 42'57'' S,34° 0'43'' O,1954.23,3619.23,20242.3,37488.74,16.7,2020-11-28 21:00:00,-26.7158,-34.0119
21,22,Didac Costa,ONE PLANET ONE OCEAN,0,12.09,22.39,6.61,25° 36'14'' S,33° 21'48'' O,1966.58,3642.11,20254.6,37511.52,16.6,2020-11-28 21:00:00,-25.6039,-33.3633
22,23,Armel Tripon,L'OCCITANE EN PROVENCE,1,14.02,25.97,4.85,27° 24'53'' S,35° 56'44'' O,2011.6,3725.48,20299.7,37595.04,16.5,2020-11-28 21:00:00,-27.4147,-35.9456
23,24,Pip Hare,MEDALLIA,0,11.59,21.46,6.09,24° 8'52'' S,33° 50'25'' O,2040.45,3778.91,20328.5,37648.38,16.3,2020-11-28 21:00:00,-24.1478,-33.8403
24,25,Fabrice Amedeo,NEWREST - ART & FENÊTRES,1,14.36,26.59,10.31,16° 25'33'' S,33° 53'8'' O,2351.18,4354.39,20639.2,38223.8,15.1,2020-11-28 21:00:00,-16.4258,-33.8856
25,26,Alexia Barrier,4MYPLANET,0,12.65,23.43,8.53,14° 0'23'' S,33° 35'57'' O,2455.03,4546.72,20743.1,38416.22,14.6,2020-11-28 21:00:00,-14.0064,-33.5992
26,27,Clement Giraud,Compagnie du Lit / Jiliti,0,13.95,25.84,10.73,12° 55'44'' S,32° 5'0'' O,2459.93,4555.79,20748.0,38425.3,14.6,2020-11-28 21:00:00,-12.9289,-32.0833
27,28,Miranda Merron,CAMPAGNE DE FRANCE,0,11.69,21.65,8.33,13° 44'53'' S,33° 55'51'' O,2478.94,4591.0,20767.0,38460.48,14.5,2020-11-28 21:00:00,-13.7481,-33.9308
28,29,Ari Huusela,STARK,0,12.52,23.19,7.98,10° 33'14'' S,33° 19'31'' O,2619.75,4851.78,20907.8,38721.25,13.9,2020-11-28 21:00:00,-10.5539,-33.3253
29,30,Sebastien Destremau,MERCI,0,11.38,21.08,8.8,9° 51'21'' S,32° 19'21'' O,2627.3,4865.76,20915.4,38735.32,13.9,2020-11-28 21:00:00,-9.8558,-32.3225
30,31,Kojiro Shiraishi,DMG MORI Global One,1,13.89,25.72,10.82,6° 55'7'' S,31° 47'33'' O,2771.94,5133.63,21060.0,39003.12,13.3,2020-11-28 21:00:00,-6.9186,-31.7925
31,32,Jeremie Beyou,CHARAL,1,8.55,15.83,6.41,2° 23'42'' N,28° 24'8'' O,3238.54,5997.78,21526.6,39867.26,11.4,2020-11-28 21:00:00,2.395,-28.4022
0,1,Charlie Dalin,APIVIA,1,18.8,34.82,16.58,40° 55'1'' S,0° 15'31'' E,0.0,0.0,18349.3,33982.9,24.5,2020-11-28 17:00:00,-40.9169,0.2586
1,2,Thomas Ruyant,LinkedOut,1,17.15,31.76,15.73,40° 11'33'' S,6° 10'50'' O,291.25,539.4,18640.6,34522.39,23.3,2020-11-28 17:00:00,-40.1925,-6.1806
2,3,Jean Le Cam,Yes We Cam!,0,15.44,28.59,14.93,37° 21'54'' S,6° 35'3'' O,374.27,693.15,18723.6,34676.11,22.9,2020-11-28 17:00:00,-37.365,-6.5842
3,4,Kevin Escoffier,PRB,1,20.25,37.5,17.24,39° 12'26'' S,7° 55'57'' O,388.38,719.28,18737.7,34702.22,22.9,2020-11-28 17:00:00,-39.2072,-7.9325
4,5,Yannick Bestaven,Maître CoQ IV,1,20.7,38.34,18.55,39° 18'43'' S,8° 14'22'' O,399.13,739.19,18748.4,34722.04,22.8,2020-11-28 17:00:00,-39.3119,-8.2394
5,6,Louis Burton,BUREAU VALLEE 2,1,19.29,35.73,16.33,41° 2'40'' S,9° 36'50'' O,419.1,776.17,18768.4,34759.08,22.8,2020-11-28 17:00:00,-41.0444,-9.6139
6,7,Sebastien Simon,ARKEA PAPREC,1,20.05,37.13,18.12,38° 50'59'' S,8° 42'48'' O,430.29,796.9,18779.6,34779.82,22.7,2020-11-28 17:00:00,-38.8497,-8.7133
7,8,Boris Herrmann,SEAEXPLORER - YACHT CLUB DE MONACO,1,18.6,34.45,17.02,39° 6'53'' S,9° 4'43'' O,439.7,814.32,18789.0,34797.23,22.7,2020-11-28 17:00:00,-39.1147,-9.0786
8,9,Damien Seguin,GROUPE APICIL,0,20.56,38.08,18.07,38° 47'29'' S,11° 35'53'' O,555.27,1028.36,18904.6,35011.32,22.2,2020-11-28 17:00:00,-38.7914,-11.5981
9,10,Samantha Davies,INITIATIVES-COEUR,1,17.45,32.32,12.29,39° 55'49'' S,12° 30'54'' O,566.97,1050.03,18916.3,35032.99,22.1,2020-11-28 17:00:00,-39.9303,-12.515
10,11,Giancarlo Pedote,PRYSMIAN GROUP,1,18.41,34.1,16.02,38° 17'53'' S,11° 52'44'' O,579.51,1073.25,18928.8,35056.14,22.1,2020-11-28 17:00:00,-38.2981,-11.8789
11,12,Benjamin Dutreux,OMIA - WATER FAMILY,0,19.18,35.52,16.36,38° 31'45'' S,12° 52'37'' O,616.38,1141.54,18965.7,35124.48,21.9,2020-11-28 17:00:00,-38.5292,-12.8769
12,13,Maxime Sorel,V and B-MAYENNE,0,18.08,33.48,15.95,37° 27'1'' S,13° 45'6'' O,681.51,1262.16,19030.8,35245.04,21.7,2020-11-28 17:00:00,-37.4503,-13.7517
13,14,Isabelle Joschke,MACSF,1,13.49,24.98,10.52,37° 50'9'' S,14° 44'47'' O,713.93,1322.2,19063.2,35305.05,21.5,2020-11-28 17:00:00,-37.8358,-14.7464
14,15,Alex Thomson,HUGO BOSS,1,6.92,12.82,6.54,37° 51'55'' S,15° 44'26'' O,755.55,1399.28,19104.8,35382.09,21.4,2020-11-28 17:00:00,-37.8653,-15.7406
15,16,Romain Attanasio,PURE - Best Western®,0,12.78,23.67,12.66,36° 50'53'' S,17° 10'55'' O,844.44,1563.9,19193.7,35546.73,21.0,2020-11-28 17:00:00,-36.8481,-17.1819
16,17,Clarisse Cremer,BANQUE POPULAIRE X,0,13.4,24.82,11.5,36° 45'49'' S,18° 25'21'' O,899.67,1666.19,19249.0,35649.15,20.8,2020-11-28 17:00:00,-36.7636,-18.4225
17,18,Alan Roura,LA FABRIQUE,1,7.57,14.02,7.55,36° 17'29'' S,20° 48'37'' O,1014.62,1879.08,19363.9,35861.94,20.3,2020-11-28 17:00:00,-36.2914,-20.8103
18,19,Stephane Le Diraison,TIME FOR OCEANS,1,5.82,10.78,4.95,34° 2'5'' S,25° 47'15'' O,1293.88,2396.27,19643.2,36379.21,19.2,2020-11-28 17:00:00,-34.0347,-25.7875
19,20,Arnaud Boissieres,LA MIE CÂLINE - ARTISANS ARTIPÔLE,1,11.66,21.59,4.79,26° 58'24'' S,32° 52'57'' O,1835.26,3398.9,20184.6,37381.88,16.9,2020-11-28 17:00:00,-26.9733,-32.8825
20,21,Manuel Cousin,GROUPE SÉTIN,0,13.26,24.56,8.03,25° 54'39'' S,33° 53'30'' O,1916.94,3550.17,20266.2,37533.0,16.6,2020-11-28 17:00:00,-25.9108,-33.8917
21,22,Didac Costa,ONE PLANET ONE OCEAN,0,12.69,23.5,8.16,24° 48'3'' S,33° 17'45'' O,1931.69,3577.49,20281.0,37560.41,16.5,2020-11-28 17:00:00,-24.8008,-33.2958
22,23,Armel Tripon,L'OCCITANE EN PROVENCE,1,15.88,29.41,6.69,26° 31'16'' S,35° 38'20'' O,1969.67,3647.83,20319.0,37630.79,16.4,2020-11-28 17:00:00,-26.5211,-35.6389
23,24,Pip Hare,MEDALLIA,0,12.62,23.37,7.65,23° 22'48'' S,33° 44'48'' O,2003.49,3710.46,20352.8,37693.39,16.2,2020-11-28 17:00:00,-23.38,-33.7467
24,25,Fabrice Amedeo,NEWREST - ART & FENÊTRES,1,14.1,26.11,10.52,15° 28'25'' S,33° 47'33'' O,2330.49,4316.07,20679.8,38298.99,14.9,2020-11-28 17:00:00,-15.4736,-33.7925
25,26,Alexia Barrier,4MYPLANET,0,14.4,26.67,11.17,13° 11'11'' S,33° 23'59'' O,2427.39,4495.53,20776.7,38478.45,14.5,2020-11-28 17:00:00,-13.1864,-33.3997
26,27,Clement Giraud,Compagnie du Lit / Jiliti,0,14.85,27.5,11.45,12° 0'48'' S,31° 55'10'' O,2441.13,4520.97,20790.4,38503.82,14.4,2020-11-28 17:00:00,-12.0133,-31.9194
27,28,Miranda Merron,CAMPAGNE DE FRANCE,0,13.55,25.09,10.18,12° 58'51'' S,33° 47'38'' O,2450.62,4538.55,20799.9,38521.41,14.4,2020-11-28 17:00:00,-12.9808,-33.7939
28,29,Ari Huusela,STARK,0,11.95,22.13,8.15,9° 46'34'' S,33° 1'7'' O,2589.96,4796.61,20939.3,38779.58,13.8,2020-11-28 17:00:00,-9.7761,-33.0186
29,30,Sebastien Destremau,MERCI,0,10.86,20.11,8.94,9° 6'55'' S,32° 9'22'' O,2600.97,4817.0,20950.3,38799.96,13.8,2020-11-28 17:00:00,-9.1153,-32.1561
30,31,Kojiro Shiraishi,DMG MORI Global One,1,11.06,20.48,8.97,6° 1'42'' S,31° 32'16'' O,2753.61,5099.69,21102.9,39082.57,13.1,2020-11-28 17:00:00,-6.0283,-31.5378
31,32,Jeremie Beyou,CHARAL,1,8.65,16.02,5.8,2° 53'40'' N,28° 7'42'' O,3202.8,5931.59,21552.1,39914.49,11.3,2020-11-28 17:00:00,2.8944,-28.1283
0,1,Charlie Dalin,APIVIA,1,18.82,34.85,15.62,41° 4'10'' S,0° 58'9'' O,0.0,0.0,18399.3,34075.5,24.3,2020-11-28 14:00:00,-41.0694,-0.9692
1,2,Thomas Ruyant,LinkedOut,1,20.75,38.43,18.79,40° 13'16'' S,7° 29'20'' O,296.59,549.28,18695.9,34624.81,23.1,2020-11-28 14:00:00,-40.2211,-7.4889
